# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2018-03-21
#
# GRDC-No.:              6742800
# River:                 DANUBE RIVER
# Station:               HARSOVA
# Country:               RO
# Latitude (DD):       44.683333
# Longitude (DD):      27.09201
# Catchment area (km²):      709100.0
# Altitude (m ASL):        3.0
# Next downstream station:      6742900
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1931 - 2010
# No. of years:          80
# Last update:           2017-06-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 960
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1931-01-01;--:--;   6010.000;   6011.935; 100
1931-02-01;--:--;   5620.000;   5619.286; 100
1931-03-01;--:--;   8440.000;   8444.516; 100
1931-04-01;--:--;   9710.000;   9708.667; 100
1931-05-01;--:--;   8760.000;   8758.065; 100
1931-06-01;--:--;   7470.000;   7473.667; 100
1931-07-01;--:--;   4750.000;   4751.290; 100
1931-08-01;--:--;   4160.000;   4158.710; 100
1931-09-01;--:--;   4740.000;   4744.000; 100
1931-10-01;--:--;   5950.000;   5952.903; 100
1931-11-01;--:--;   7270.000;   7259.000; 100
1931-12-01;--:--;   5790.000;   5791.935; 100
1932-01-01;--:--;   6000.000;   6001.935; 100
1932-02-01;--:--;   3690.000;   3703.448; 100
1932-03-01;--:--;   4580.000;   4570.968; 100
1932-04-01;--:--;  10610.000;  10632.333; 100
1932-05-01;--:--;  12500.000;  12471.935; 100
1932-06-01;--:--;   8240.000;   8249.667; 100
1932-07-01;--:--;   5460.000;   5446.774; 100
1932-08-01;--:--;   5000.000;   5004.839; 100
1932-09-01;--:--;   2940.000;   2944.667; 100
1932-10-01;--:--;   2930.000;   2931.613; 100
1932-11-01;--:--;   4340.000;   4336.667; 100
1932-12-01;--:--;   4300.000;   4317.742; 100
1933-01-01;--:--;   2730.000;   2728.387; 100
1933-02-01;--:--;   4250.000;   4244.286; 100
1933-03-01;--:--;   5730.000;   5723.548; 100
1933-04-01;--:--;   5190.000;   5200.333; 100
1933-05-01;--:--;   8350.000;   8352.258; 100
1933-06-01;--:--;   9340.000;   9335.667; 100
1933-07-01;--:--;   8230.000;   8215.161; 100
1933-08-01;--:--;   5640.000;   5632.258; 100
1933-09-01;--:--;   4060.000;   4055.000; 100
1933-10-01;--:--;   4560.000;   4538.065; 100
1933-11-01;--:--;   6300.000;   6302.667; 100
1933-12-01;--:--;   5730.000;   5731.290; 100
1934-01-01;--:--;   5640.000;   5659.032; 100
1934-02-01;--:--;   3860.000;   3877.500; 100
1934-03-01;--:--;   6930.000;   6930.000; 100
1934-04-01;--:--;   7160.000;   7174.667; 100
1934-05-01;--:--;   4930.000;   4928.387; 100
1934-06-01;--:--;   4540.000;   4540.333; 100
1934-07-01;--:--;   5380.000;   5387.419; 100
1934-08-01;--:--;   4650.000;   4655.806; 100
1934-09-01;--:--;   4820.000;   4825.333; 100
1934-10-01;--:--;   3910.000;   3913.871; 100
1934-11-01;--:--;   4900.000;   4914.333; 100
1934-12-01;--:--;   4930.000;   4938.387; 100
1935-01-01;--:--;   3240.000;   3237.419; 100
1935-02-01;--:--;   4040.000;   4044.286; 100
1935-03-01;--:--;   9450.000;   9447.097; 100
1935-04-01;--:--;   8260.000;   8256.000; 100
1935-05-01;--:--;   9060.000;   9064.194; 100
1935-06-01;--:--;   8170.000;   8183.333; 100
1935-07-01;--:--;   5520.000;   5515.484; 100
1935-08-01;--:--;   3260.000;   3269.032; 100
1935-09-01;--:--;   2780.000;   2780.667; 100
1935-10-01;--:--;   2760.000;   2761.290; 100
1935-11-01;--:--;   4010.000;   4004.333; 100
1935-12-01;--:--;   4900.000;   4900.645; 100
1936-01-01;--:--;   5780.000;   5793.871; 100
1936-02-01;--:--;   7210.000;   7236.897; 100
1936-03-01;--:--;   8550.000;   8559.677; 100
