# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2018-03-21
#
# GRDC-No.:              6742900
# River:                 DANUBE RIVER
# Station:               CEATAL IZMAIL
# Country:               RO
# Latitude (DD):       45.216667
# Longitude (DD):      28.716657
# Catchment area (km²):      807000.0
# Altitude (m ASL):        0.6
# Next downstream station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1921 - 2010
# No. of years:          90
# Last update:           2017-06-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1080
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1921-01-01;--:--;   3825.000;   -999.000;   0
1921-02-01;--:--;   4625.000;   -999.000;   0
1921-03-01;--:--;   3796.000;   -999.000;   0
1921-04-01;--:--;   3917.000;   -999.000;   0
1921-05-01;--:--;   6679.000;   -999.000;   0
1921-06-01;--:--;   6231.000;   -999.000;   0
1921-07-01;--:--;   6029.000;   -999.000;   0
1921-08-01;--:--;   2988.000;   -999.000;   0
1921-09-01;--:--;   2493.000;   -999.000;   0
1921-10-01;--:--;   2076.000;   -999.000;   0
1921-11-01;--:--;   2795.000;   -999.000;   0
1921-12-01;--:--;   2829.000;   -999.000;   0
1922-01-01;--:--;   4362.000;   -999.000;   0
1922-02-01;--:--;   3994.000;   -999.000;   0
1922-03-01;--:--;   7458.000;   -999.000;   0
1922-04-01;--:--;   8920.000;   -999.000;   0
1922-05-01;--:--;   9970.000;   -999.000;   0
1922-06-01;--:--;   9354.000;   -999.000;   0
1922-07-01;--:--;   5978.000;   -999.000;   0
1922-08-01;--:--;   4032.000;   -999.000;   0
1922-09-01;--:--;   3884.000;   -999.000;   0
1922-10-01;--:--;   6522.000;   -999.000;   0
1922-11-01;--:--;   8718.000;   -999.000;   0
1922-12-01;--:--;   7440.000;   -999.000;   0
1923-01-01;--:--;   6775.000;   -999.000;   0
1923-02-01;--:--;   6918.000;   -999.000;   0
1923-03-01;--:--;   9493.000;   -999.000;   0
1923-04-01;--:--;  10452.000;   -999.000;   0
1923-05-01;--:--;   9415.000;   -999.000;   0
1923-06-01;--:--;   7300.000;   -999.000;   0
1923-07-01;--:--;   7738.000;   -999.000;   0
1923-08-01;--:--;   3951.000;   -999.000;   0
1923-09-01;--:--;   2967.000;   -999.000;   0
1923-10-01;--:--;   3005.000;   -999.000;   0
1923-11-01;--:--;   3542.000;   -999.000;   0
1923-12-01;--:--;   6793.000;   -999.000;   0
1924-01-01;--:--;   6045.000;   -999.000;   0
1924-02-01;--:--;   5615.000;   -999.000;   0
1924-03-01;--:--;   6272.000;   -999.000;   0
1924-04-01;--:--;   8918.000;   -999.000;   0
1924-05-01;--:--;  11085.000;   -999.000;   0
1924-06-01;--:--;  11212.000;   -999.000;   0
1924-07-01;--:--;   9098.000;   -999.000;   0
1924-08-01;--:--;   6115.000;   -999.000;   0
1924-09-01;--:--;   6295.000;   -999.000;   0
1924-10-01;--:--;   5139.000;   -999.000;   0
1924-11-01;--:--;   3550.000;   -999.000;   0
1924-12-01;--:--;   3719.000;   -999.000;   0
1925-01-01;--:--;   2590.000;   -999.000;   0
1925-02-01;--:--;   2577.000;   -999.000;   0
1925-03-01;--:--;   5096.000;   -999.000;   0
1925-04-01;--:--;   4788.000;   -999.000;   0
1925-05-01;--:--;   6942.000;   -999.000;   0
1925-06-01;--:--;   6769.000;   -999.000;   0
1925-07-01;--:--;   6175.000;   -999.000;   0
1925-08-01;--:--;   5241.000;   -999.000;   0
1925-09-01;--:--;   5618.000;   -999.000;   0
1925-10-01;--:--;   4865.000;   -999.000;   0
1925-11-01;--:--;   5366.000;   -999.000;   0
1925-12-01;--:--;   7175.000;   -999.000;   0
1926-01-01;--:--;   9163.000;   -999.000;   0
1926-02-01;--:--;   9622.000;   -999.000;   0
1926-03-01;--:--;   7861.000;   -999.000;   0
1926-04-01;--:--;   7574.000;   -999.000;   0
1926-05-01;--:--;   7516.000;   -999.000;   0
1926-06-01;--:--;   7815.000;   -999.000;   0
1926-07-01;--:--;   9506.000;   -999.000;   0
1926-08-01;--:--;  11709.000;   -999.000;   0
1926-09-01;--:--;   9460.000;   -999.000;   0
1926-10-01;--:--;   4668.000;   -999.000;   0
1926-11-01;--:--;   6391.000;   -999.000;   0
1926-12-01;--:--;   6402.000;   -999.000;   0
1927-01-01;--:--;   5936.000;   -999.000;   0
1927-02-01;--:--;   6177.000;   -999.000;   0
1927-03-01;--:--;   6089.000;   -999.000;   0
1927-04-01;--:--;   7658.000;   -999.000;   0
1927-05-01;--:--;   8201.000;   -999.000;   0
1927-06-01;--:--;   7496.000;   -999.000;   0
1927-07-01;--:--;   5126.000;   -999.000;   0
1927-08-01;--:--;   4218.000;   -999.000;   0
1927-09-01;--:--;   4725.000;   -999.000;   0
1927-10-01;--:--;   5975.000;   -999.000;   0
1927-11-01;--:--;   4550.000;   -999.000;   0
1927-12-01;--:--;   5482.000;   -999.000;   0
1928-01-01;--:--;   5272.000;   -999.000;   0
1928-02-01;--:--;   6814.000;   -999.000;   0
1928-03-01;--:--;   5752.000;   -999.000;   0
1928-04-01;--:--;   6741.000;   -999.000;   0
1928-05-01;--:--;   7999.000;   -999.000;   0
1928-06-01;--:--;   8196.000;   -999.000;   0
1928-07-01;--:--;   5461.000;   -999.000;   0
1928-08-01;--:--;   3100.000;   -999.000;   0
1928-09-01;--:--;   2855.000;   -999.000;   0
1928-10-01;--:--;   3775.000;   -999.000;   0
1928-11-01;--:--;   4158.000;   -999.000;   0
1928-12-01;--:--;   4889.000;   -999.000;   0
1929-01-01;--:--;   4350.000;   -999.000;   0
1929-02-01;--:--;   2935.000;   -999.000;   0
1929-03-01;--:--;   4477.000;   -999.000;   0
1929-04-01;--:--;   8450.000;   -999.000;   0
1929-05-01;--:--;   9207.000;   -999.000;   0
1929-06-01;--:--;   8719.000;   -999.000;   0
1929-07-01;--:--;   6631.000;   -999.000;   0
1929-08-01;--:--;   4225.000;   -999.000;   0
1929-09-01;--:--;   4000.000;   -999.000;   0
1929-10-01;--:--;   2810.000;   -999.000;   0
