,SM,TWS,SPI-3,SPI-12,SPI-48,SPEI-3,SPEI-12,SPEI-48,Q_harsova,Q_ceatal_izmail
SM,1.0,0.3541051835014926,0.5004962337598771,0.414635809703054,0.13464721711084823,0.5128716994665163,0.40927920357175684,0.13338997390779644,0.4707714486540337,0.49677069871265833
TWS,0.3541051835014926,1.0,0.31414276739864916,0.45338713541047126,0.258307203945435,0.3257738794693798,0.44080935362157364,0.2542607752306602,0.48904375485730034,0.5244542323863046
SPI-3,0.5004962337598771,0.31414276739864916,1.0,0.4005559272835623,0.1797933721668615,0.9958643658647117,0.3814326549080921,0.16002972269525523,0.7313983067962011,0.7473804257776264
SPI-12,0.414635809703054,0.45338713541047126,0.4005559272835623,1.0,0.3746146119736603,0.4088810704346374,0.9949387873108537,0.3691107307859193,0.6487779687056737,0.7081051516076995
SPI-48,0.13464721711084823,0.258307203945435,0.1797933721668615,0.3746146119736603,1.0,0.1630671986902265,0.3551500787720694,0.9914388898798834,0.31342731780120914,0.35262123327073114
SPEI-3,0.5128716994665163,0.3257738794693798,0.9958643658647117,0.4088810704346374,0.1630671986902265,1.0,0.39306674382548673,0.14513206343715276,0.7337557043925926,0.7515526993266085
SPEI-12,0.40927920357175684,0.44080935362157364,0.3814326549080921,0.9949387873108537,0.3551500787720694,0.39306674382548673,1.0,0.3551913589297641,0.637628527011587,0.6944294981893476
SPEI-48,0.13338997390779644,0.2542607752306602,0.16002972269525523,0.3691107307859193,0.9914388898798834,0.14513206343715276,0.3551913589297641,1.0,0.29354223961698794,0.32678091367509055
Q_harsova,0.4707714486540337,0.48904375485730034,0.7313983067962011,0.6487779687056737,0.31342731780120914,0.7337557043925926,0.637628527011587,0.29354223961698794,1.0,0.9881147975115667
Q_ceatal_izmail,0.49677069871265833,0.5244542323863046,0.7473804257776264,0.7081051516076995,0.35262123327073114,0.7515526993266085,0.6944294981893476,0.32678091367509055,0.9881147975115667,1.0
