,SM,TWS,SPI-3,SPI-6,SPI-12,SPI-24,SPI-36,SPI-48,SPEI-3,SPEI-6,SPEI-12,SPEI-24,SPEI-36,SPEI-48,Q_harsova,Q_ceatal_izmail
SM,1.0,0.3541051835014926,0.5004962337598771,0.4491858634282259,0.414635809703054,0.3255564116513568,0.21924688064641493,0.13464721711084823,0.5128716994665163,0.4590780133982503,0.40927920357175684,0.3111746825656236,0.2094003061331078,0.13338997390779644,0.4707714486540337,0.49677069871265833
TWS,0.3541051835014926,1.0,0.31414276739864916,0.4206034244166914,0.45338713541047126,0.4059892298126861,0.27025543330801743,0.258307203945435,0.3257738794693798,0.44381086985251966,0.44080935362157364,0.40447892637253197,0.2674198479118974,0.2542607752306602,0.48904375485730034,0.5244542323863046
SPI-3,0.5004962337598771,0.31414276739864916,1.0,0.7257623762709903,0.4005559272835623,0.25255310442647333,0.1744961284618016,0.1797933721668615,0.9958643658647117,0.7189103099959853,0.3814326549080921,0.22777371423207413,0.14829171955068965,0.16002972269525523,0.7313983067962011,0.7473804257776264
SPI-6,0.4491858634282259,0.4206034244166914,0.7257623762709903,1.0,0.6336628432317234,0.403709696312732,0.23593384043178936,0.22202345322759579,0.7247058277791509,0.9961531836156932,0.6111706565488215,0.37994556280505126,0.20821201966933744,0.20284934228514503,0.7144458910381869,0.7406630052644644
SPI-12,0.414635809703054,0.45338713541047126,0.4005559272835623,0.6336628432317234,1.0,0.5852932018177541,0.3470338973653011,0.3746146119736603,0.4088810704346374,0.6480695511678373,0.9949387873108537,0.5683556151112498,0.3329504890965252,0.3691107307859193,0.6487779687056737,0.7081051516076995
SPI-24,0.3255564116513568,0.4059892298126861,0.25255310442647333,0.403709696312732,0.5852932018177541,1.0,0.6311391721250199,0.4419750134895026,0.2559547974347347,0.41279015048126155,0.5936370845107376,0.9942500678604287,0.6252096812078809,0.4414505005259547,0.5404405509415477,0.5904066730744938
SPI-36,0.21924688064641493,0.27025543330801743,0.1744961284618016,0.23593384043178936,0.3470338973653011,0.6311391721250199,1.0,0.6386062431542984,0.16827618038563583,0.23422087650047851,0.3411700244306231,0.6253469407084578,0.9934974545366703,0.6368152720704163,0.3594846408818341,0.3975993223444591
SPI-48,0.13464721711084823,0.258307203945435,0.1797933721668615,0.22202345322759579,0.3746146119736603,0.4419750134895026,0.6386062431542984,1.0,0.1630671986902265,0.2095226959685847,0.3551500787720694,0.406991427047305,0.6192790325752582,0.9914388898798834,0.31342731780120914,0.35262123327073114
SPEI-3,0.5128716994665163,0.3257738794693798,0.9958643658647117,0.7247058277791509,0.4088810704346374,0.2559547974347347,0.16827618038563583,0.1630671986902265,1.0,0.721685021305672,0.39306674382548673,0.23337948076210377,0.1437107116598944,0.14513206343715276,0.7337557043925926,0.7515526993266085
SPEI-6,0.4590780133982503,0.44381086985251966,0.7189103099959853,0.9961531836156932,0.6480695511678373,0.41279015048126155,0.23422087650047851,0.2095226959685847,0.721685021305672,1.0,0.6304844762793742,0.39157152658791694,0.20937296389395293,0.19389896077722604,0.7191218561548823,0.7448669029436654
SPEI-12,0.40927920357175684,0.44080935362157364,0.3814326549080921,0.6111706565488215,0.9949387873108537,0.5936370845107376,0.3411700244306231,0.3551500787720694,0.39306674382548673,0.6304844762793742,1.0,0.5825048259318735,0.3317874660234306,0.3551913589297641,0.637628527011587,0.6944294981893476
SPEI-24,0.3111746825656236,0.40447892637253197,0.22777371423207413,0.37994556280505126,0.5683556151112498,0.9942500678604287,0.6253469407084578,0.406991427047305,0.23337948076210377,0.39157152658791694,0.5825048259318735,1.0,0.6262581229776902,0.4135586119505377,0.5207140936023618,0.5722521611554299
SPEI-36,0.2094003061331078,0.2674198479118974,0.14829171955068965,0.20821201966933744,0.3329504890965252,0.6252096812078809,0.9934974545366703,0.6192790325752582,0.1437107116598944,0.20937296389395293,0.3317874660234306,0.6262581229776902,1.0,0.6280281955248197,0.3391201123899559,0.37477748130574445
SPEI-48,0.13338997390779644,0.2542607752306602,0.16002972269525523,0.20284934228514503,0.3691107307859193,0.4414505005259547,0.6368152720704163,0.9914388898798834,0.14513206343715276,0.19389896077722604,0.3551913589297641,0.4135586119505377,0.6280281955248197,1.0,0.29354223961698794,0.32678091367509055
Q_harsova,0.4707714486540337,0.48904375485730034,0.7313983067962011,0.7144458910381869,0.6487779687056737,0.5404405509415477,0.3594846408818341,0.31342731780120914,0.7337557043925926,0.7191218561548823,0.637628527011587,0.5207140936023618,0.3391201123899559,0.29354223961698794,1.0,0.9881147975115667
Q_ceatal_izmail,0.49677069871265833,0.5244542323863046,0.7473804257776264,0.7406630052644644,0.7081051516076995,0.5904066730744938,0.3975993223444591,0.35262123327073114,0.7515526993266085,0.7448669029436654,0.6944294981893476,0.5722521611554299,0.37477748130574445,0.32678091367509055,0.9881147975115667,1.0
